class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,veil-color,spore-print-color,population,habitat
p,x,s,n,t,p,f,c,n,k,w,k,s,u
e,x,s,y,t,a,f,c,b,k,w,n,n,g
e,b,s,w,t,l,f,c,b,n,w,n,n,m
p,x,y,w,t,p,f,c,n,n,w,k,s,u
e,x,s,g,f,n,f,w,b,k,w,n,a,g
e,x,y,y,t,a,f,c,b,n,w,k,n,g
e,b,s,w,t,a,f,c,b,g,w,k,n,m
e,b,y,w,t,l,f,c,b,n,w,n,s,m
p,x,y,w,t,p,f,c,n,p,w,k,v,g
e,b,s,y,t,a,f,c,b,g,w,k,s,m
e,x,y,y,t,l,f,c,b,g,w,n,n,g
e,x,y,y,t,a,f,c,b,n,w,k,s,m
e,b,s,y,t,a,f,c,b,w,w,n,s,g
p,x,y,w,t,p,f,c,n,k,w,n,v,u
e,x,f,n,f,n,f,w,b,n,w,k,a,g
e,s,f,g,f,n,f,c,n,k,w,n,y,u
e,f,f,w,f,n,f,w,b,k,w,n,a,g
p,x,s,n,t,p,f,c,n,n,w,k,s,g
p,x,y,w,t,p,f,c,n,n,w,n,s,u
p,x,s,n,t,p,f,c,n,k,w,n,s,u
e,b,s,y,t,a,f,c,b,k,w,n,s,m
p,x,y,n,t,p,f,c,n,n,w,n,v,g
e,b,y,y,t,l,f,c,b,k,w,n,s,m
e,b,y,w,t,a,f,c,b,w,w,n,n,m
e,b,s,w,t,l,f,c,b,g,w,k,s,m
p,f,s,w,t,p,f,c,n,n,w,n,v,g
e,x,y,y,t,a,f,c,b,n,w,n,n,m
e,x,y,w,t,l,f,c,b,w,w,n,n,m
e,f,f,n,f,n,f,c,n,k,w,k,y,u
e,x,s,y,t,a,f,w,n,n,w,n,v,d
e,b,s,y,t,l,f,c,b,g,w,n,n,m
p,x,y,w,t,p,f,c,n,k,w,n,s,u
e,x,y,y,t,l,f,c,b,n,w,n,n,m
e,x,y,n,t,l,f,c,b,p,w,n,y,p
e,b,y,y,t,l,f,c,b,n,w,n,s,m
e,x,f,y,t,l,f,w,n,w,w,n,v,d
e,s,f,g,f,n,f,c,n,k,w,k,v,u
p,x,y,n,t,p,f,c,n,w,w,n,s,u
e,x,f,y,t,a,f,w,n,p,w,n,v,d
e,b,s,y,t,l,f,c,b,k,w,k,s,m
e,b,y,y,t,a,f,c,b,n,w,n,s,g
e,x,y,y,t,l,f,c,b,n,w,k,y,p
e,x,f,n,f,n,f,c,n,g,w,k,y,u
p,x,y,w,t,p,f,c,n,p,w,n,v,g
e,x,s,y,t,a,f,c,b,w,w,k,n,m
e,x,y,w,t,a,f,c,b,n,w,n,n,g
e,x,y,y,t,l,f,c,b,k,w,k,s,m
e,x,s,w,t,l,f,c,b,w,w,n,n,m
e,x,y,y,t,l,f,c,b,n,w,n,s,p
e,f,y,y,t,l,f,c,b,w,w,k,s,p
e,x,y,n,t,a,f,c,b,w,w,k,s,g
e,x,s,w,t,l,f,c,b,k,w,k,s,g
e,b,s,w,t,l,f,c,b,k,w,n,n,m
p,x,y,n,t,p,f,c,n,k,w,n,v,u
p,x,s,w,t,p,f,c,n,k,w,k,v,u
e,b,y,y,t,a,f,c,b,w,w,k,s,m
e,f,f,g,f,n,f,w,b,n,w,n,a,g
e,b,s,w,t,a,f,c,b,w,w,n,n,g
e,x,s,y,t,l,f,c,b,k,w,k,n,g
e,x,y,n,t,a,f,c,b,p,w,k,y,p
e,s,f,g,f,n,f,c,n,k,w,n,v,u
e,b,y,y,t,a,f,c,b,k,w,n,s,m
e,b,s,y,t,l,f,c,b,g,w,n,s,m
e,b,y,y,t,l,f,c,b,g,w,n,n,m
e,b,y,w,t,l,f,c,b,n,w,n,s,g
e,f,s,n,f,n,f,w,b,k,w,k,a,g
e,x,s,w,t,l,f,c,b,n,w,k,s,g
e,f,y,y,t,a,f,c,b,w,w,n,s,g
e,x,y,y,t,a,f,c,b,w,w,k,n,g
e,x,f,g,f,n,f,c,n,p,w,n,v,u
e,f,f,y,t,l,f,w,n,p,w,n,v,d
e,b,y,w,t,l,f,c,b,g,w,n,s,m
e,f,f,y,t,l,f,w,n,w,w,n,v,d
e,x,y,n,t,a,f,c,b,p,w,k,s,p
e,b,s,y,t,a,f,c,b,k,w,k,s,g
e,f,s,y,t,l,f,w,n,p,w,n,v,d
e,x,s,w,t,l,f,w,n,n,w,u,v,d
e,f,y,n,t,l,f,c,b,p,w,n,y,p
p,x,y,n,t,p,f,c,n,w,w,n,v,u
e,f,y,n,t,a,f,c,b,n,w,n,y,g
e,x,s,n,f,n,f,w,b,k,w,n,s,g
p,x,y,w,t,p,f,c,n,w,w,k,s,g
e,f,f,g,f,n,f,c,n,n,w,n,y,u
e,x,f,g,f,n,f,w,b,n,w,n,s,g
e,x,y,y,t,l,f,c,b,w,w,k,s,g
e,x,s,n,f,n,f,w,b,k,w,k,s,g
e,b,s,w,t,a,f,c,b,w,w,k,s,g
e,x,s,w,t,l,f,c,b,n,w,n,s,g
e,f,y,n,t,l,f,c,b,w,w,k,y,g
e,s,f,n,f,n,f,c,n,n,w,n,v,u
e,x,f,n,f,n,f,c,n,n,w,n,y,u
e,b,s,w,t,l,f,c,b,k,w,k,s,g
e,x,y,y,t,a,f,c,b,g,w,k,s,g
e,x,y,y,t,l,f,c,b,g,w,k,n,m
e,x,s,n,f,n,f,w,b,n,w,n,a,g
e,x,s,w,t,a,f,c,b,g,w,n,s,g
e,f,y,n,t,l,f,c,b,p,w,n,s,g
e,x,s,y,t,a,f,c,b,n,w,k,n,g
e,b,s,w,t,a,f,c,b,g,w,n,s,g
e,x,y,w,t,a,f,c,b,g,w,k,s,g
e,x,f,n,f,n,f,w,b,p,w,k,s,g
e,b,s,y,t,l,f,c,b,n,w,k,n,g
e,f,y,y,t,l,f,c,b,w,w,n,s,g
e,x,y,y,t,a,f,c,b,n,w,k,y,p
e,b,y,w,t,l,f,c,b,g,w,n,n,g
e,x,y,y,t,a,f,c,b,n,w,k,n,m
e,x,y,y,t,a,f,c,b,w,w,n,y,g
e,b,y,w,t,l,f,c,b,n,w,k,s,m
e,b,y,w,t,a,f,c,b,g,w,n,s,m
e,x,s,y,t,a,f,c,b,k,w,k,n,m
e,x,s,y,t,l,f,c,b,w,w,k,n,g
e,s,f,g,f,n,f,c,n,g,w,k,y,u
e,x,f,w,t,a,f,w,n,w,w,u,v,d
e,x,s,y,t,a,f,c,b,n,w,k,n,m
p,x,y,w,t,p,f,c,n,n,w,n,v,u
e,x,y,y,t,l,f,c,b,p,w,n,s,g
e,s,f,g,f,n,f,c,n,p,w,n,y,u
e,x,y,y,t,l,f,c,b,w,w,k,y,g
e,x,s,y,t,l,f,w,n,p,w,u,v,d
e,s,f,n,f,n,f,c,n,k,w,n,y,u
p,x,s,w,t,p,f,c,n,k,w,k,v,g
e,x,y,w,t,a,f,c,b,g,w,n,n,m
p,f,y,n,t,p,f,c,n,p,w,k,v,g
e,f,s,g,f,n,f,w,b,k,w,n,a,g
e,x,s,y,t,l,f,c,b,g,w,n,s,m
e,x,s,w,f,n,f,w,b,n,w,k,s,g
e,b,s,y,t,a,f,c,b,w,w,n,n,g
e,f,f,g,f,n,f,w,b,h,w,n,a,g
e,x,s,w,t,l,f,c,b,n,w,k,n,g
e,b,s,w,t,l,f,c,b,n,w,n,s,m
e,b,s,w,t,l,f,c,b,w,w,n,s,g
e,b,y,w,t,l,f,c,b,w,w,n,s,m
e,f,s,w,t,l,f,w,n,w,w,u,v,d
e,x,y,y,t,l,f,c,b,g,w,k,s,m
e,f,s,w,t,a,f,w,n,p,w,n,v,d
p,x,y,w,t,p,f,c,n,w,w,n,v,u
e,f,f,w,t,l,f,w,n,w,w,n,v,d
e,x,y,y,t,a,f,c,b,n,w,n,s,g
p,x,s,n,t,p,f,c,n,p,w,n,v,g
e,b,s,y,t,l,f,c,b,w,w,n,n,g
e,x,y,n,t,a,f,c,b,w,w,k,y,p
e,b,y,y,t,l,f,c,b,g,w,k,n,m
e,s,f,n,f,n,f,c,n,k,w,n,v,u
e,f,y,n,t,a,f,c,b,w,w,k,y,p
e,x,y,y,t,a,f,c,b,k,w,k,n,g
e,x,f,g,f,n,f,w,b,k,w,k,s,g
e,f,f,w,f,n,f,w,b,k,w,n,a,g
e,x,y,y,t,l,f,c,b,w,w,n,n,m
e,b,s,y,t,l,f,c,b,k,w,k,n,g
e,b,y,w,t,a,f,c,b,g,w,k,n,m
e,x,y,w,t,a,f,c,b,w,w,n,s,g
e,x,s,n,f,n,f,w,b,p,w,n,a,g
e,x,y,w,t,l,f,c,b,g,w,n,s,g
e,s,f,n,f,n,f,c,n,k,w,k,v,u
e,x,s,w,t,a,f,w,n,w,w,u,v,d
e,x,y,n,t,l,f,c,b,w,w,k,s,g
e,b,y,y,t,a,f,c,b,k,w,n,n,g
e,x,y,w,t,a,f,c,b,k,w,n,n,g
e,b,y,w,t,a,f,c,b,n,w,k,s,m
e,b,s,y,t,a,f,c,b,g,w,k,s,g
e,b,s,y,t,l,f,c,b,g,w,k,s,m
e,b,y,y,t,a,f,c,b,n,w,k,n,g
e,x,f,n,f,n,f,c,n,k,w,n,y,u
e,f,y,n,t,l,f,c,b,n,w,n,y,g
e,x,y,w,t,a,f,c,b,k,w,n,s,g
e,f,y,y,t,l,f,c,b,w,w,n,y,p
e,b,s,w,t,a,f,c,b,w,w,n,s,g
e,b,s,w,t,a,f,c,b,w,w,k,s,m
e,x,y,n,t,l,f,c,b,w,w,k,y,g
e,b,s,w,t,a,f,c,b,k,w,k,s,g
e,x,f,g,f,n,f,c,n,g,w,n,y,u
e,b,s,y,t,l,f,c,b,k,w,n,s,g
e,x,f,y,t,l,f,w,n,n,w,u,v,d
e,b,y,y,t,a,f,c,b,w,w,k,s,g
e,f,y,y,t,l,f,c,b,p,w,n,s,g
e,b,y,w,t,l,f,c,b,w,w,k,n,m
e,b,y,w,t,a,f,c,b,k,w,k,n,m
e,b,y,y,t,a,f,c,b,g,w,n,s,g
e,x,y,y,t,l,f,c,b,g,w,n,n,m
e,b,s,y,t,l,f,c,b,g,w,n,n,g
p,x,y,w,t,p,f,c,n,p,w,n,v,u
e,s,f,n,f,n,f,c,n,g,w,n,y,u
e,f,f,n,f,n,f,c,n,g,w,k,v,u
e,x,s,y,t,a,f,c,b,g,w,n,s,m
e,f,y,n,t,a,f,c,b,p,w,k,s,p
p,x,y,w,t,p,f,c,n,k,w,k,s,g
e,b,s,w,t,l,f,c,b,g,w,n,s,m
e,f,f,g,f,n,f,c,n,p,w,k,v,u
e,b,y,y,t,l,f,c,b,g,w,n,n,g
e,x,y,n,t,a,f,c,b,w,w,n,y,p
e,x,f,w,f,n,f,w,b,p,w,k,s,g
e,x,s,w,t,l,f,w,n,w,w,n,v,d
e,b,s,w,t,l,f,c,b,w,w,n,s,m
e,f,s,y,t,a,f,w,n,w,w,n,v,d
e,x,s,y,t,a,f,c,b,k,w,n,n,m
e,f,f,g,f,n,f,c,n,g,w,n,y,u
e,b,s,y,t,a,f,c,b,n,w,k,s,g
